,Created At,User,Tweet,Location,Tickers,Created_Date
0,2022-06-30 23:59:59,EngieFord,"RT @IncomeSharks: From July 1st to November 1st I'll be buying $1,000 worth of #Bitcoin everyday and tracking the results. Pretty confident…",,#APPL,2022-06-30
1,2022-06-30 23:59:59,DeepStar22,"RT @OfficialTravlad: What tf is this #Bitcoin candle, looks so manipulated…","New Delhi, India",#APPL,2022-06-30
2,2022-06-30 23:59:57,nerivansouza01,RT @milkshake_io: MicroStrategy chief executive Michael Saylor announced an additional purchase of 480 #bitcoins  (#BTC) for roughly US$10…,,#APPL,2022-06-30
3,2022-06-30 23:59:56,EngieFord,"RT @CedYoungelman: Your home is not worth more. 

Your money is just worth less. 

#Bitcoin fixes this.",,#APPL,2022-06-30
4,2022-06-30 23:59:56,AndersTintin,"RT @OfficialTravlad: What tf is this #Bitcoin candle, looks so manipulated…","New Norway, Alberta",#APPL,2022-06-30
5,2022-06-30 23:59:56,Neverbigwin00,"RT @OfficialTravlad: What tf is this #Bitcoin candle, looks so manipulated…","Baso, Indonesia",#APPL,2022-06-30
6,2022-06-30 23:59:55,_brett_grant_,RT @bitcoinlfgo: Just in : El Salvador to build $200 million solar-powered #Bitcoin mining facility. 🙌,"Staten Island, NY",#APPL,2022-06-30
7,2022-06-30 23:59:55,ThemainSergio,"What is this sudden spike in #bitcoin and some #altcoins ?
Asian and Australian markets in positive mood?
#cryptocurrency",Planet crypto,#APPL,2022-06-30
8,2022-06-30 23:59:54,tuamen,"RT @parkeralewis: Get your #bitcoin off exchanges (Coinbase/Gemini) and platforms that promised you ""yield"" (Blockfi/Nexo). If you need hel…",,#APPL,2022-06-30
9,2022-06-30 23:59:54,CryptoWatchBot,"#Investing 64.0% in this optimal #crypto portfolio and 36.0% #cash in the past 24 hours would have given you a 3.1% return rather than #Bitcoin's -1.8%, for the same level of #risk https://t.co/MCICVtlG7u","New York, NY",#APPL,2022-06-30
10,2022-07-01 23:59:58,TheEnder0317,RT @BTCGandalf: Plebs when they look at the #Bitcoin price during a bear market. https://t.co/j6zFf3MzTh,,#APPL,2022-07-01
11,2022-07-01 23:59:58,LivePriceCrypto,"#Bitcoin Last Price $19257 #BTC 🚀
Daily Indicators:
•Variation since 00h00(UTC): -3.41%
•MACD:
 -MACD Line: -2072
 -Signal Line: -2266

#Ethereum Last Price $1058 #ETH
•Variation: -1.27%
•MACD:
 -MACD Line: -153
 -Signal Line: -177

#Crypto #Web3
(2/3)
140428",,#APPL,2022-07-01
12,2022-07-01 23:59:58,crypto_w1ens,"RT @BTCismydrug: To Celebrate Reaching 1k Followers,
Giving Away 100$#BNB to one Lucky Follower 🔥🤑

To Participate:

✅Follow @BTCismydrug…",akun wangi 🌷,#APPL,2022-07-01
13,2022-07-01 23:59:56,spikes2021,RT @TheCryptoLark: Many of the world's richest and most famous investors made their fortunes in bear markets! #bitcoin #crypto,,#APPL,2022-07-01
14,2022-07-01 23:59:55,Wilfred48783293,"RT @BitcoinMagazine: ""Thank you for selling cheap."" – El Salvador President on 80 #bitcoin purchase 🇸🇻 https://t.co/5jx7bhQ8jK",,#APPL,2022-07-01
