,Created At,User,Tweet,Location,Tickers,Created_Date
0,2022-06-30 23:59:59,EngieFord,"RT @IncomeSharks: From July 1st to November 1st I'll be buying $1,000 worth of #Bitcoin everyday and tracking the results. Pretty confident…",,#Coindesk,2022-06-30
1,2022-06-30 23:59:59,DeepStar22,"RT @OfficialTravlad: What tf is this #Bitcoin candle, looks so manipulated…","New Delhi, India",#Coindesk,2022-06-30
2,2022-06-30 23:59:57,nerivansouza01,RT @milkshake_io: MicroStrategy chief executive Michael Saylor announced an additional purchase of 480 #bitcoins  (#BTC) for roughly US$10…,,#Coindesk,2022-06-30
3,2022-06-30 23:59:56,EngieFord,"RT @CedYoungelman: Your home is not worth more. 

Your money is just worth less. 

#Bitcoin fixes this.",,#Coindesk,2022-06-30
4,2022-06-30 23:59:56,AndersTintin,"RT @OfficialTravlad: What tf is this #Bitcoin candle, looks so manipulated…","New Norway, Alberta",#Coindesk,2022-06-30
5,2022-06-30 23:59:56,Neverbigwin00,"RT @OfficialTravlad: What tf is this #Bitcoin candle, looks so manipulated…","Baso, Indonesia",#Coindesk,2022-06-30
6,2022-06-30 23:59:55,_brett_grant_,RT @bitcoinlfgo: Just in : El Salvador to build $200 million solar-powered #Bitcoin mining facility. 🙌,"Staten Island, NY",#Coindesk,2022-06-30
7,2022-06-30 23:59:55,ThemainSergio,"What is this sudden spike in #bitcoin and some #altcoins ?
Asian and Australian markets in positive mood?
#cryptocurrency",Planet crypto,#Coindesk,2022-06-30
8,2022-06-30 23:59:54,tuamen,"RT @parkeralewis: Get your #bitcoin off exchanges (Coinbase/Gemini) and platforms that promised you ""yield"" (Blockfi/Nexo). If you need hel…",,#Coindesk,2022-06-30
9,2022-06-30 23:59:54,CryptoWatchBot,"#Investing 64.0% in this optimal #crypto portfolio and 36.0% #cash in the past 24 hours would have given you a 3.1% return rather than #Bitcoin's -1.8%, for the same level of #risk https://t.co/MCICVtlG7u","New York, NY",#Coindesk,2022-06-30
10,2022-07-01 23:59:58,TheEnder0317,RT @BTCGandalf: Plebs when they look at the #Bitcoin price during a bear market. https://t.co/j6zFf3MzTh,,#Coindesk,2022-07-01
11,2022-07-01 23:59:58,LivePriceCrypto,"#Bitcoin Last Price $19257 #BTC 🚀
Daily Indicators:
•Variation since 00h00(UTC): -3.41%
•MACD:
 -MACD Line: -2072
 -Signal Line: -2266

#Ethereum Last Price $1058 #ETH
•Variation: -1.27%
•MACD:
 -MACD Line: -153
 -Signal Line: -177

#Crypto #Web3
(2/3)
140428",,#Coindesk,2022-07-01
12,2022-07-01 23:59:58,crypto_w1ens,"RT @BTCismydrug: To Celebrate Reaching 1k Followers,
Giving Away 100$#BNB to one Lucky Follower 🔥🤑

To Participate:

✅Follow @BTCismydrug…",akun wangi 🌷,#Coindesk,2022-07-01
13,2022-07-01 23:59:56,spikes2021,RT @TheCryptoLark: Many of the world's richest and most famous investors made their fortunes in bear markets! #bitcoin #crypto,,#Coindesk,2022-07-01
14,2022-07-01 23:59:55,Wilfred48783293,"RT @BitcoinMagazine: ""Thank you for selling cheap."" – El Salvador President on 80 #bitcoin purchase 🇸🇻 https://t.co/5jx7bhQ8jK",,#Coindesk,2022-07-01
15,2022-07-01 23:59:54,CryptoBrave2022,"RT @DocumentingBTC: How saving works:

                                  your money
 everything  =        —————— 
      else…",Not Financial Advice,#Coindesk,2022-07-01
16,2022-07-01 23:59:53,chrisdcripto,"Mood Tesla, mood #Bitcoin #tesla 🔥 https://t.co/1wYN2wnk2d","Denver, CO",#Coindesk,2022-07-01
17,2022-07-01 23:59:52,CrytpoCLNT,"RT @saylor: My recent discussion with @MMCrypto on the state of the industry, #Bitcoin growth drivers &amp; models, benefits of proper regulati…",United States,#Coindesk,2022-07-01
18,2022-07-01 23:59:50,Angelie094,"RT @SocialGood_Inc: ✨Win $100 in $BTC✨
Follow &amp; RT this for a chance to win $100 worth of #Bitcoin 💰We'll tag the 35th #Giveaway winner on…","Calabarzon, Republic of the Ph",#Coindesk,2022-07-01
19,2022-07-01 23:59:49,straight2crypto,"RT @LPNational: If you want to #EndTheFed and the inflation crisis as much as us, you don't want to miss this. #Bitcoin https://t.co/2xBA18…",,#Coindesk,2022-07-01
20,2022-07-02 23:59:59,DansGomez8,"RT @GaryMounfield: 💥💥💥 #GIVEAWAY #Bitcoin  💥💥💥

Giveaway with Free bitcoin for my #crypto followers ❤.

🎁Gift: 0.01 $BTC for the winner…",Web3,#Coindesk,2022-07-02
21,2022-07-02 23:59:53,E_EL_G,"RT @OnChainCollege: The Number of Addresses with a Balance of at Least 1 #Bitcoin just hit an all-time high at 874,668 https://t.co/EWSokE2…",,#Coindesk,2022-07-02
22,2022-07-02 23:59:50,aphigginson353,RT @saylor: Everybody wants to move money at the speed of light. #Bitcoin https://t.co/7wf3hCRMDh,,#Coindesk,2022-07-02
23,2022-07-02 23:59:49,algo_elite,"Check out https://t.co/ao2wn6SYo8 to get
these indicators
#trading #forex #bitcoin #forextrader
#investing #cryptocurrency #money
5
#trader #invest #investment #crypto
#forextrading #btc #entrepreneur
#t jockchain *pusiness * cryptorrading PRICE,3
#binaryoptions #success  #fyp https://t.co/Ndhmyf0sOX",,#Coindesk,2022-07-02
24,2022-07-02 23:59:48,ells_bester,RT @rovercrc: Long term you can't be bearish on #Bitcoin!,"Jakarta Capital Region, Indone",#Coindesk,2022-07-02
25,2022-07-02 23:59:41,PJ_does_CryptO,"RT @profit8lue: Here's what's missing on the charts.😉
#bitcoin https://t.co/hMaH0Lobkv","California, USA",#Coindesk,2022-07-02
26,2022-07-02 23:59:40,Sitting_On_Sats,"RT @DocumentingBTC: The 2nd largest electric power company in the U.S., Duke Energy, is studying the benefits of #bitcoin mining and how to…","Salt Lake City, UT",#Coindesk,2022-07-02
27,2022-07-02 23:59:37,JamesKacev,RT @RichardHeartWin: Lol @saylor. Loser. #Bitcoin https://t.co/ixeEXlvf6W,Australia,#Coindesk,2022-07-02
28,2022-07-02 23:59:37,IceMCrypto,"RT @Dennis_Porter_: BREAKING: Duke Energy, the 2nd largest utility in the USA, is studying #Bitcoin mining.","Arizona, USA",#Coindesk,2022-07-02
29,2022-07-02 23:59:37,Junod81170988,RT @AurelienOhayon: #BITCOIN IS READY FOR A MASSIVE BULL RUN. https://t.co/KJ4lscLIOV,,#Coindesk,2022-07-02
30,2022-07-03 23:59:58,ger313,"RT @TheBTCAdventure: #Bitcoin mining will destroy the planet! Or will it? 

An informative and thought provoking talk by @JasonADeane https…","Oregon, USA",#Coindesk,2022-07-03
31,2022-07-03 23:59:56,KhakiTrader,@HodlMagoo @APompliano @PeterSchiff yeah but #bitcoin sweatshop sneakers do,,#Coindesk,2022-07-03
32,2022-07-03 23:59:54,CatchtheWaveCr1,RT @RichardHeartWin: #FraudFi can die. #Celsius #BlockFi #3AC #Voyager #Nexo and all the other trash you guys send your #Bitcoin to....,,#Coindesk,2022-07-03
33,2022-07-03 23:59:54,0xETHwin,RT @gokhshteinmedia: Voyager tweeted out earlier today that their doing everything possible to make sure that their exchange is around for…,"Martapura, Indonesia",#Coindesk,2022-07-03
34,2022-07-03 23:59:53,c9t_c9t,"RT @BTC_Archive: We just HODL 😎 
#Bitcoin  https://t.co/Nmw2h6K3y3",Australia,#Coindesk,2022-07-03
35,2022-07-03 23:59:52,LivePriceCrypto,"#Bitcoin Last Price $19318 #BTC 🚀
Daily Indicators:
•Variation since 00h00(UTC): +0.33%
•MACD:
 -MACD Line: -1981
 -Signal Line: -2172

#Ethereum Last Price $1075 #ETH
•Variation: +0.73%
•MACD:
 -MACD Line: -143
 -Signal Line: -166

#Crypto #Web3
(2/3)
143302",,#Coindesk,2022-07-03
36,2022-07-03 23:59:50,Jay_man002,RT @RichardHeartWin: I'm basking in glory while other founders have gone into hiding. #Celsius #Luna #Blockfi @zhusu @stablekwon   #Bitcoin…,,#Coindesk,2022-07-03
37,2022-07-03 23:59:50,l_oui,@PeterSchiff #Bitcoin fixes this,,#Coindesk,2022-07-03
38,2022-07-03 23:59:48,NPiano101,RT @BitcoinMagazine: ⚠️ Only 2 million #Bitcoin left to be mined ⚠️ https://t.co/h1Vcv7Uibz,United States,#Coindesk,2022-07-03
39,2022-07-03 23:59:48,FungiblePlanets,"VICTIMS OF LUNA ARE CREATING A CLUNA NFT COLLECTION

https://t.co/z5pmh96f0w

#BITCOIN #BSCGEM #BTC #LUNA #CLUNA #ETH #BNB #MOONSHOT #100X #CRYPTO #1000X #ALTCOINS #CLUNATICS",Metaverse,#Coindesk,2022-07-03
40,2022-07-04 23:59:59,luengo1958,RT @mcshane_writes: 2050: Only small planets use #Bitcoin https://t.co/2i0GeqLXho,Santiago de Chile 🇨🇱,#Coindesk,2022-07-04
41,2022-07-04 23:59:59,btc_price_,"$BTC PRICE : $20209
 Change 24h : +4.76 % 📈 #bitcoin #BTC",Blockchain,#Coindesk,2022-07-04
42,2022-07-04 23:59:56,Fred_CryptoCold,@cate_long @PeterSchiff #Bitcoin fixes this.,"Montréal, Québec",#Coindesk,2022-07-04
43,2022-07-04 23:59:55,MNblockchain,"""The Country Treasury will have a dedicated Bitcoin reserve""

👀

See what's going on across the Atlantic? 

No, not Europe. 

Africa! 

#Sango #Bitcoin #sangocoin https://t.co/mtJtEt31vS","Minneapolis, MN",#Coindesk,2022-07-04
44,2022-07-04 23:59:53,smolredting,RT @WatcherGuru: JUST IN: Celsius Network has paid off another $50 million towards its #Bitcoin loan. Their liquidation price has dropped t…,Not Financial Advice,#Coindesk,2022-07-04
45,2022-07-04 23:59:52,sentinel727,@brian_trollz Fkd around and found out didn’t ya? They REALLY haven’t been listening and so they REALLY don’t know shit about #Bitcoin! Who says you can’t count on family? Come on tell it! Who said “Crypto”???,"St Petersburg, FL",#Coindesk,2022-07-04
46,2022-07-04 23:59:50,BrendanNixon10,"RT @BTC_Archive: 💥TURKEY: Inflation soars to ~78% in June! 😳 

#Bitcoin",Jersey Shore,#Coindesk,2022-07-04
47,2022-07-04 23:59:49,felixcepeda8,RT @TheRealPlanC: BIG NEWS 🗞️ #Celsius has paid off another $64 million towards its #Bitcoin loan. Their liquidation price has dropped to $…,"Plattsburgh, NY",#Coindesk,2022-07-04
48,2022-07-04 23:59:49,DRGinovili2017,"RT @BitcoinMagazine: Banks will close your accounts when they disagree with you.

#Bitcoin fixes this.", El Salvador,#Coindesk,2022-07-04
49,2022-07-04 23:59:47,Crypto_Cooper91,RT @TheRealPlanC: BIG NEWS 🗞️ #Celsius has paid off another $64 million towards its #Bitcoin loan. Their liquidation price has dropped to $…,,#Coindesk,2022-07-04
50,2022-07-05 23:59:59,FaithBalainn,RT @BTC_Archive: HODL #Bitcoin when everybody else panics… 😎 https://t.co/31xCkiQEza,🇺🇸🇷🇴,#Coindesk,2022-07-05
51,2022-07-05 23:59:58,IAmBitcoinBot,Current #Bitcoin Price is $20190 #BTC #Crypto,server,#Coindesk,2022-07-05
52,2022-07-05 23:59:57,HY9531,"RT @vince_wtf: 🔥Volcanodes Giveaway🔥

🚀 $200 Node + 3WL 

To Enter:

✅Like + Retweet 
✅Follow @volcanodes + @vince_wtf
✅Tag 3 Friends 

End…",Korea,#Coindesk,2022-07-05
53,2022-07-05 23:59:57,zeldaray3,RT @TheRealPlanC: BIG NEWS 🗞️ #Celsius has paid off another $40.8 million towards its #Bitcoin loan. Their liquidation price has dropped to…,United States,#Coindesk,2022-07-05
54,2022-07-05 23:59:56,DailyCrypto_t,"Bitcoin Trading Volume Sinks More than $2 Trillion in Second Quarter
#Bitcoin #Ethereum #BTC #ETH #Crypto #CryptoNews

https://t.co/HQ7MPDJzO0 https://t.co/Am0ciKQ1DA",,#Coindesk,2022-07-05
55,2022-07-05 23:59:55,Wypychacz1,"RT @ashwsbreal: I will buy Lamborghini for 1 follower when #Bitcoin hits $1,000,000 Just like and retweet this",,#Coindesk,2022-07-05
56,2022-07-05 23:59:54,ConoCripto,@PeterSchiff Do you know the word #Bitcoin ? Read the whitepaper. You're gonna love it :),Argentina,#Coindesk,2022-07-05
57,2022-07-05 23:59:54,lindolfogdneto,RT @AurelienOhayon: #BITCOIN IS READY FOR A MASSIVE BULL RUN. https://t.co/cwegwsSwaO,,#Coindesk,2022-07-05
58,2022-07-05 23:59:51,btc_only_store,RT @HardBlockBTC: Citibank (a global bank managing US$27 trillion for over 200 million customers in 160 countries) has hired Swiss custody…,Australia,#Coindesk,2022-07-05
59,2022-07-05 23:59:50,Joyce10xc4,"RT @binance: #Bitcoin trading fees are too high tbh

Like this tweet if you agree",,#Coindesk,2022-07-05
