,Created At,User,Tweet,Location,Tickers,Created_Date
0,2022-06-30 23:59:59,EngieFord,"RT @IncomeSharks: From July 1st to November 1st I'll be buying $1,000 worth of #Bitcoin everyday and tracking the results. Pretty confident…",,#Cryptocurrency,2022-06-30
1,2022-06-30 23:59:59,DeepStar22,"RT @OfficialTravlad: What tf is this #Bitcoin candle, looks so manipulated…","New Delhi, India",#Cryptocurrency,2022-06-30
2,2022-06-30 23:59:57,nerivansouza01,RT @milkshake_io: MicroStrategy chief executive Michael Saylor announced an additional purchase of 480 #bitcoins  (#BTC) for roughly US$10…,,#Cryptocurrency,2022-06-30
3,2022-06-30 23:59:56,EngieFord,"RT @CedYoungelman: Your home is not worth more. 

Your money is just worth less. 

#Bitcoin fixes this.",,#Cryptocurrency,2022-06-30
4,2022-06-30 23:59:56,AndersTintin,"RT @OfficialTravlad: What tf is this #Bitcoin candle, looks so manipulated…","New Norway, Alberta",#Cryptocurrency,2022-06-30
5,2022-06-30 23:59:56,Neverbigwin00,"RT @OfficialTravlad: What tf is this #Bitcoin candle, looks so manipulated…","Baso, Indonesia",#Cryptocurrency,2022-06-30
6,2022-06-30 23:59:55,_brett_grant_,RT @bitcoinlfgo: Just in : El Salvador to build $200 million solar-powered #Bitcoin mining facility. 🙌,"Staten Island, NY",#Cryptocurrency,2022-06-30
7,2022-06-30 23:59:55,ThemainSergio,"What is this sudden spike in #bitcoin and some #altcoins ?
Asian and Australian markets in positive mood?
#cryptocurrency",Planet crypto,#Cryptocurrency,2022-06-30
8,2022-06-30 23:59:54,tuamen,"RT @parkeralewis: Get your #bitcoin off exchanges (Coinbase/Gemini) and platforms that promised you ""yield"" (Blockfi/Nexo). If you need hel…",,#Cryptocurrency,2022-06-30
9,2022-06-30 23:59:54,CryptoWatchBot,"#Investing 64.0% in this optimal #crypto portfolio and 36.0% #cash in the past 24 hours would have given you a 3.1% return rather than #Bitcoin's -1.8%, for the same level of #risk https://t.co/MCICVtlG7u","New York, NY",#Cryptocurrency,2022-06-30
