,Created At,User,Tweet,Location,Tickers,Created_Date
0,2022-06-30 23:59:59,EngieFord,"RT @IncomeSharks: From July 1st to November 1st I'll be buying $1,000 worth of #Bitcoin everyday and tracking the results. Pretty confident…",,#bitcoin,2022-06-30
1,2022-06-30 23:59:59,DeepStar22,"RT @OfficialTravlad: What tf is this #Bitcoin candle, looks so manipulated…","New Delhi, India",#bitcoin,2022-06-30
2,2022-06-30 23:59:57,nerivansouza01,RT @milkshake_io: MicroStrategy chief executive Michael Saylor announced an additional purchase of 480 #bitcoins  (#BTC) for roughly US$10…,,#bitcoin,2022-06-30
3,2022-06-30 23:59:56,EngieFord,"RT @CedYoungelman: Your home is not worth more. 

Your money is just worth less. 

#Bitcoin fixes this.",,#bitcoin,2022-06-30
4,2022-06-30 23:59:56,AndersTintin,"RT @OfficialTravlad: What tf is this #Bitcoin candle, looks so manipulated…","New Norway, Alberta",#bitcoin,2022-06-30
5,2022-06-30 23:59:56,Neverbigwin00,"RT @OfficialTravlad: What tf is this #Bitcoin candle, looks so manipulated…","Baso, Indonesia",#bitcoin,2022-06-30
6,2022-06-30 23:59:55,_brett_grant_,RT @bitcoinlfgo: Just in : El Salvador to build $200 million solar-powered #Bitcoin mining facility. 🙌,"Staten Island, NY",#bitcoin,2022-06-30
7,2022-06-30 23:59:55,ThemainSergio,"What is this sudden spike in #bitcoin and some #altcoins ?
Asian and Australian markets in positive mood?
#cryptocurrency",Planet crypto,#bitcoin,2022-06-30
8,2022-06-30 23:59:54,tuamen,"RT @parkeralewis: Get your #bitcoin off exchanges (Coinbase/Gemini) and platforms that promised you ""yield"" (Blockfi/Nexo). If you need hel…",,#bitcoin,2022-06-30
9,2022-06-30 23:59:54,CryptoWatchBot,"#Investing 64.0% in this optimal #crypto portfolio and 36.0% #cash in the past 24 hours would have given you a 3.1% return rather than #Bitcoin's -1.8%, for the same level of #risk https://t.co/MCICVtlG7u","New York, NY",#bitcoin,2022-06-30
10,2022-07-01 23:59:58,TheEnder0317,RT @BTCGandalf: Plebs when they look at the #Bitcoin price during a bear market. https://t.co/j6zFf3MzTh,,#bitcoin,2022-07-01
11,2022-07-01 23:59:58,LivePriceCrypto,"#Bitcoin Last Price $19257 #BTC 🚀
Daily Indicators:
•Variation since 00h00(UTC): -3.41%
•MACD:
 -MACD Line: -2072
 -Signal Line: -2266

#Ethereum Last Price $1058 #ETH
•Variation: -1.27%
•MACD:
 -MACD Line: -153
 -Signal Line: -177

#Crypto #Web3
(2/3)
140428",,#bitcoin,2022-07-01
12,2022-07-01 23:59:58,crypto_w1ens,"RT @BTCismydrug: To Celebrate Reaching 1k Followers,
Giving Away 100$#BNB to one Lucky Follower 🔥🤑

To Participate:

✅Follow @BTCismydrug…",akun wangi 🌷,#bitcoin,2022-07-01
13,2022-07-01 23:59:56,spikes2021,RT @TheCryptoLark: Many of the world's richest and most famous investors made their fortunes in bear markets! #bitcoin #crypto,,#bitcoin,2022-07-01
14,2022-07-01 23:59:55,Wilfred48783293,"RT @BitcoinMagazine: ""Thank you for selling cheap."" – El Salvador President on 80 #bitcoin purchase 🇸🇻 https://t.co/5jx7bhQ8jK",,#bitcoin,2022-07-01
15,2022-07-01 23:59:54,CryptoBrave2022,"RT @DocumentingBTC: How saving works:

                                  your money
 everything  =        —————— 
      else…",Not Financial Advice,#bitcoin,2022-07-01
16,2022-07-01 23:59:53,chrisdcripto,"Mood Tesla, mood #Bitcoin #tesla 🔥 https://t.co/1wYN2wnk2d","Denver, CO",#bitcoin,2022-07-01
17,2022-07-01 23:59:52,CrytpoCLNT,"RT @saylor: My recent discussion with @MMCrypto on the state of the industry, #Bitcoin growth drivers &amp; models, benefits of proper regulati…",United States,#bitcoin,2022-07-01
18,2022-07-01 23:59:50,Angelie094,"RT @SocialGood_Inc: ✨Win $100 in $BTC✨
Follow &amp; RT this for a chance to win $100 worth of #Bitcoin 💰We'll tag the 35th #Giveaway winner on…","Calabarzon, Republic of the Ph",#bitcoin,2022-07-01
19,2022-07-01 23:59:49,straight2crypto,"RT @LPNational: If you want to #EndTheFed and the inflation crisis as much as us, you don't want to miss this. #Bitcoin https://t.co/2xBA18…",,#bitcoin,2022-07-01
20,2022-07-02 23:59:59,DansGomez8,"RT @GaryMounfield: 💥💥💥 #GIVEAWAY #Bitcoin  💥💥💥

Giveaway with Free bitcoin for my #crypto followers ❤.

🎁Gift: 0.01 $BTC for the winner…",Web3,#bitcoin,2022-07-02
21,2022-07-02 23:59:53,E_EL_G,"RT @OnChainCollege: The Number of Addresses with a Balance of at Least 1 #Bitcoin just hit an all-time high at 874,668 https://t.co/EWSokE2…",,#bitcoin,2022-07-02
22,2022-07-02 23:59:50,aphigginson353,RT @saylor: Everybody wants to move money at the speed of light. #Bitcoin https://t.co/7wf3hCRMDh,,#bitcoin,2022-07-02
